8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,W
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,W
7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,W
8,0.13,0.25,1.1,0.033,15,86,0.99044,2.98,0.39,11.2,W
5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,W
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,W
7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,W
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,W
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,R
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,R
10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,R
7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,W
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,W
6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,W
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,W
7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,W
7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,W
6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,W
6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,W
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,W
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,W
6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,W
6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,W
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,W
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,W
7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,W
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,R
5.8,0.28,0.34,2.2,0.037,24,125,0.98986,3.36,0.33,12.8,W
9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,W
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,W
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,W
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,W
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,W
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,R
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,R
6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,W
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,W
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,W
6.9,0.36,0.35,8.6,0.038,37,125,0.9916,3,0.32,12.4,W
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,R
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,R
7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,W
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,R
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,W
6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,W
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,W
7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,W
8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,W
7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,W
7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,R
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,R
7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,W
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,W
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,W
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,R
8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,W
8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10,W
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,W
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,W
5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,W
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,W
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,W
6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,W
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,W
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,W
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,W
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,R
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,W
7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,W
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,W
6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,W
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,W
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,R
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,W
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,W
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,W
7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,W
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,R
6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,W
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,W
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,R
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,R
7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,W
9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,W
6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,W
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,W
6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,W
9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,W
6.7,0.33,0.36,6.6,0.042,34,116,0.99123,2.97,0.31,12.2,W
8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,W
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,R
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,R
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,R
9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,W
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,W
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,W
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,R
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,W
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,W
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,W
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,R
5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,W
6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,W
6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,W
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,R
6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,W
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,W
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,W
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,W
7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,W
7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,W
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,R
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,W
8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,W
6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,W
7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,W
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,W
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,W
